latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-35.24633,-64.68579,313.01,2.93,1.63,2024-02-02,0314,T,84,6.1NRT,296.44,40.71,N
-35.25335,-64.71691,308.26,2.91,1.63,2024-02-02,0314,T,24,6.1NRT,296.26,23.72,N
-35.14761,-71.75314,307.04,1.15,1.07,2024-02-02,0314,T,70,6.1NRT,291.66,9.35,N
-34.2692,-71.66003,323.42,1.19,1.09,2024-02-02,0317,T,100,6.1NRT,292.51,27.87,N
-34.27134,-71.6729,349.42,1.19,1.09,2024-02-02,0317,T,100,6.1NRT,295.08,79.56,N
-34.27347,-71.68568,316.67,1.19,1.09,2024-02-02,0317,T,94,6.1NRT,291.39,19.41,N
-34.25959,-71.66264,303.96,1.19,1.09,2024-02-02,0317,T,58,6.1NRT,291.39,8.2,N
-34.26175,-71.67554,300.96,1.19,1.09,2024-02-02,0317,T,36,6.1NRT,290.64,6.09,N
10.05802,-64.85784,310.89,1.63,1.26,2024-02-02,0149,T,77,6.1NRT,294.27,13.85,N
10.05571,-64.87227,318.56,1.64,1.26,2024-02-02,0149,T,97,6.1NRT,294.27,27.3,N
10.05337,-64.88689,319.53,1.64,1.26,2024-02-02,0149,T,99,6.1NRT,293.93,29.63,N
10.06444,-64.88879,307.21,1.64,1.26,2024-02-02,0149,T,71,6.1NRT,294.02,10.73,N
9.80427,-66.4935,306.33,2.21,1.44,2024-02-02,0149,T,68,6.1NRT,292.05,15.72,N
10.0801,-64.86169,311.44,1.63,1.26,2024-02-02,0149,T,81,6.1NRT,293.93,14.99,N
26.11828,118.0613,310.84,1.17,1.08,2024-02-02,0230,T,38,6.1NRT,290.67,9.68,D
25.02143,106.54894,306.18,2.93,1.63,2024-02-02,0230,T,63,6.1NRT,289.58,27.73,D
24.78444,105.9696,304.3,3.21,1.7,2024-02-02,0230,T,59,6.1NRT,289.45,24.71,D
24.78556,105.96372,305.09,3.21,1.7,2024-02-02,0230,T,61,6.1NRT,289.8,26.6,D
24.65906,106.03375,304.42,3.16,1.68,2024-02-02,0230,T,59,6.1NRT,293.14,21.84,D
24.10356,106.69777,306,2.78,1.59,2024-02-02,0230,T,61,6.1NRT,289.92,25.25,D
23.98099,105.48112,302.29,3.41,1.74,2024-02-02,0230,T,52,6.1NRT,290.92,22.91,D
23.98514,105.47536,304.06,3.41,1.74,2024-02-02,0230,T,58,6.1NRT,291.22,29.05,D
15.39975,120.63792,319.38,2.74,1.58,2024-02-02,0232,T,71,6.1NRT,297.48,41.29,D
